name,male_pop,female_pop,area_km2,capital,calling_code
Afghanistan,19388764,18090077,652230,Kabul,93
Albania,1445447,1442288,28748,Tirana,355
Algeria,21907077,21500929,2381741,Algiers,213
Andorra,37671,35208,467.63,Andorra la Vella,376
Angola,14449092,14719489,1246700,Luanda,244
Antigua and Barbuda,45745,50615,440,St. John's,1268
Argentina,22303426,23290233,2780400,Buenos Aires,54
Armenia,1428724,1640835,29743,Yerevan,374
Australia,12864154,12946624,7692024,Canberra,61
Austria,4244349,4448257,83879,Vienna,43
Azerbaijan,5156766,5259806,86600,Baku,994